iter	Logloss
0	0.4956209547
1	0.4603916307
2	0.4236881413
3	0.4124431004
4	0.4047237002
5	0.3984877793
6	0.3913761696
7	0.3865817956
8	0.3708776355
9	0.3662104426
10	0.363951903
11	0.359626662
12	0.3590077292
13	0.3572808698
14	0.3540281835
15	0.3487272174
16	0.3473400266
17	0.3468146617
18	0.3362781466
19	0.3340223201
20	0.3319848956
21	0.3293148001
22	0.3264171546
23	0.324883537
24	0.3220463108
25	0.3203210761
26	0.3172071747
27	0.3129448533
28	0.3121503738
29	0.3113556167
30	0.3042053055
31	0.3039676743
32	0.3038161302
33	0.3000244512
34	0.2941726458
35	0.2887106572
36	0.2883678225
37	0.288001086
38	0.2865064891
39	0.2863119436
40	0.2841660194
41	0.2838673644
42	0.2837833813
43	0.2837404571
44	0.2835189405
45	0.2807380541
46	0.2806099041
47	0.2764583013
48	0.2722488621
49	0.2719189112
50	0.2682939134
51	0.266889064
52	0.2666349094
53	0.2664895484
