iter	Passed	Remaining
0	11	47501
1	20	40041
2	30	41085
3	41	40992
4	53	43104
5	66	44012
6	80	45812
7	86	43161
8	97	43110
9	106	42664
10	121	43909
11	132	44194
12	143	44039
13	153	43716
14	163	43316
15	177	44243
16	188	44147
17	195	43198
18	207	43379
19	220	43861
20	236	44772
21	248	44937
22	268	46357
23	279	46295
24	288	45812
25	298	45671
26	310	45742
27	329	46797
28	344	47234
29	357	47282
30	372	47671
31	385	47774
32	396	47633
33	407	47494
34	418	47435
35	431	47481
36	442	47404
37	453	47281
38	464	47190
39	475	47056
40	486	46929
41	500	47135
42	512	47125
43	523	47024
44	537	47254
45	553	47565
46	565	47569
47	577	47508
48	587	47401
49	598	47249
50	608	47121
51	619	47023
52	631	47044
53	643	47038
54	654	46934
55	664	46801
56	675	46710
57	687	46695
58	697	46585
59	709	46560
60	719	46457
61	730	46368
