iter	Logloss
0	0.6828887925
1	0.6724854477
2	0.6629997465
3	0.6531602321
4	0.6446019694
5	0.635650043
6	0.626748937
7	0.6188941576
8	0.6103226489
9	0.6032574385
10	0.5959240641
11	0.5887117024
12	0.5818926401
13	0.5756078976
14	0.5695764205
15	0.5636333467
16	0.5578566797
17	0.5519768277
18	0.5468245692
19	0.5416145015
20	0.5365868656
21	0.5314389072
22	0.5266166296
23	0.5218742211
24	0.5174506852
25	0.5130651955
26	0.509166963
27	0.5049700089
28	0.501128553
29	0.4969843181
30	0.493441179
31	0.4892617159
32	0.485866521
33	0.4824998342
34	0.4792849094
35	0.476274533
36	0.4733777315
37	0.4705691465
38	0.4683594544
39	0.4659605836
40	0.4630514257
41	0.4604508393
42	0.4579929538
43	0.4556880297
44	0.4530417494
45	0.4505623917
46	0.4489718463
47	0.4473041083
48	0.4459740676
49	0.4445622481
50	0.4426928439
51	0.440946678
52	0.4390080509
53	0.437007839
54	0.435098489
55	0.4340014513
56	0.4323826957
57	0.4305145102
58	0.4290549915
59	0.427481595
60	0.4258738288
61	0.4250815571
62	0.4235596515
63	0.4222660813
64	0.4211139164
65	0.4193005131
66	0.4177769545
67	0.4168173356
68	0.4155349593
69	0.4144583955
70	0.4133039025
71	0.412424139
72	0.410881808
73	0.4099865017
74	0.4092605684
75	0.4079344404
76	0.4071894417
77	0.4063379936
78	0.4056750737
79	0.40478662
80	0.4037868343
81	0.402764493
82	0.4023774953
83	0.4015014686
84	0.4004955708
85	0.3997427651
86	0.398696098
87	0.3979810054
88	0.3973893652
89	0.3965797803
90	0.3959117737
91	0.3950382416
92	0.3939423166
93	0.3932940877
94	0.3928140128
95	0.3923650761
96	0.392004458
97	0.39132454
98	0.3910326485
99	0.3901775411
100	0.3895662256
101	0.3891215286
102	0.3886102553
103	0.3880259454
104	0.3871135695
105	0.3861835657
106	0.3859000803
107	0.3854839259
108	0.3849184215
109	0.3843687786
110	0.3836410229
111	0.3832280026
112	0.3827946487
113	0.3822524572
114	0.3817963116
115	0.3811058947
116	0.3806427071
117	0.3802467051
118	0.3794413738
119	0.3790545282
120	0.3777389269
121	0.3775622532
122	0.3772241159
123	0.3768817178
124	0.3766020169
125	0.3759191383
126	0.375431493
127	0.3752142779
128	0.3748185859
129	0.3743299656
130	0.3738085233
131	0.3734431476
132	0.3725453382
133	0.3723294938
134	0.3719913706
135	0.3716021103
136	0.3714424415
137	0.3712519887
138	0.3709255771
139	0.3706718634
140	0.3703223988
141	0.3698632108
142	0.3693706761
143	0.3691522527
144	0.3688302406
145	0.3686068749
146	0.3679672584
147	0.3676746084
148	0.3673674835
149	0.3669278754
150	0.3667130819
151	0.3658383927
152	0.3652126043
153	0.3649046883
154	0.3646484909
155	0.3644299958
156	0.3639555225
157	0.3634604904
158	0.3632135893
159	0.3631090894
160	0.3628305471
161	0.3625477871
162	0.3625054219
163	0.3623438252
164	0.362049734
165	0.3617368728
166	0.3611446142
167	0.3609528304
168	0.3607038872
169	0.360599992
170	0.3603000307
171	0.3598805741
172	0.3595639653
173	0.3593838405
174	0.3592337068
175	0.3587752499
176	0.3585985022
177	0.3583580142
178	0.3582345184
179	0.357710469
180	0.357513937
181	0.3574007931
182	0.3570124129
183	0.3567887382
184	0.3564092197
185	0.3562450842
186	0.3561536895
187	0.3558311446
188	0.3556699029
189	0.3555010363
190	0.3549818284
191	0.354811727
192	0.35467857
193	0.3543941904
194	0.3542658289
195	0.3536811668
196	0.3534045469
197	0.3531595799
198	0.3530948263
199	0.3530200121
200	0.3529545379
201	0.352609757
202	0.352265267
203	0.3519342898
204	0.3515350418
205	0.3513549707
206	0.3509610579
207	0.3507951198
208	0.3506625751
209	0.3500008217
210	0.3498214287
211	0.3496656364
212	0.3492863531
213	0.3491951983
214	0.3491011027
215	0.3489121819
216	0.3487357321
217	0.3486012654
218	0.3485022565
219	0.3482045445
220	0.3480024665
221	0.3478264783
222	0.3475720167
223	0.3474244201
224	0.3471696731
225	0.3468066385
226	0.3464881692
227	0.3463857133
228	0.3462432293
229	0.3462137783
230	0.3460371156
231	0.3458808723
232	0.3456447205
233	0.3455136696
234	0.3454478114
235	0.3453104183
236	0.3451599616
237	0.345057587
238	0.3449737055
239	0.3448873029
240	0.3447243963
241	0.3444929796
242	0.3444265611
243	0.3442880014
244	0.3441899139
245	0.3440194052
246	0.3438519282
247	0.3436923555
248	0.3432662104
249	0.3430749933
250	0.3428226835
251	0.342652581
252	0.3422885396
253	0.3420727457
254	0.3419817826
255	0.3418713454
256	0.3415490505
257	0.3411816786
258	0.3410072598
259	0.3408915327
260	0.3408261266
261	0.3402414808
262	0.3400728727
263	0.3397755974
264	0.3396428115
265	0.3395311106
266	0.3394774589
267	0.3391589112
268	0.3387679818
269	0.3386070053
270	0.3380337664
271	0.337906084
272	0.3378865117
273	0.3377185144
274	0.3375824325
275	0.3373872675
276	0.336955838
277	0.3367105451
278	0.3365682006
279	0.3365227464
280	0.3364341525
281	0.3361056738
282	0.3358738242
283	0.3358036891
284	0.3357119167
285	0.3355891034
286	0.3352535051
287	0.3351499812
288	0.3350611864
289	0.3350081117
290	0.3349181677
291	0.3347684995
292	0.3347105207
293	0.3344512341
294	0.3344048196
295	0.3342817015
296	0.3337657134
297	0.3335358243
298	0.3332012171
299	0.3330285396
300	0.3329741931
301	0.3326889885
302	0.3325694388
303	0.3323120917
304	0.332098092
305	0.3320070366
306	0.3319244622
307	0.3318520051
308	0.3317520685
309	0.3317458689
310	0.3316107121
311	0.3315451595
312	0.3312961333
313	0.3312406694
314	0.3311235053
315	0.3309791293
316	0.3308104612
317	0.3306057696
318	0.3304431205
319	0.3302449313
320	0.3301254371
321	0.3298556429
322	0.329742091
323	0.3296523374
324	0.3295362625
325	0.3293888705
326	0.3293048342
327	0.3291794662
328	0.329022247
329	0.3287576816
330	0.3286761706
331	0.3285135267
332	0.3282965198
333	0.3281236597
334	0.3280587215
335	0.3278733058
336	0.3277872625
337	0.3276324164
338	0.3275783162
339	0.3275395271
340	0.3274512067
341	0.3273588055
342	0.3270652094
343	0.327058435
344	0.3268371917
345	0.3265726865
346	0.3264198701
347	0.3263073629
348	0.3261444663
349	0.325987254
350	0.3258550376
351	0.3258369175
352	0.3256334849
353	0.3255398426
354	0.3254621374
355	0.3254212166
356	0.325315615
357	0.3252109949
358	0.3250973086
359	0.3250331081
360	0.3249388453
361	0.3247627519
362	0.3244022553
363	0.3242364439
364	0.3241245689
365	0.3240076243
366	0.3239346316
367	0.3238433605
368	0.3237420228
369	0.3237210871
370	0.3233980131
371	0.3232241456
372	0.32297579
373	0.3229300574
374	0.3228617813
375	0.3227513984
376	0.3225963136
377	0.3225282235
378	0.3224256307
379	0.3223647649
380	0.322267463
381	0.3220218272
382	0.3219367047
383	0.3216449417
384	0.3214036651
385	0.3213798935
386	0.3212454819
387	0.3211324712
388	0.3210040405
389	0.3209410989
390	0.3205177963
391	0.3203442278
392	0.3203279451
393	0.320294983
394	0.3201896264
395	0.3201338913
396	0.3200482056
397	0.319955082
398	0.3197541653
399	0.3194902894
400	0.3194070137
401	0.3193214908
402	0.3192218055
403	0.3189682757
404	0.3188988454
405	0.3187650309
406	0.3187164137
407	0.318483241
408	0.3182477341
409	0.3178299397
410	0.317639478
411	0.3175202445
412	0.3173792337
413	0.3172244729
414	0.3170752414
415	0.317023068
416	0.3169836005
417	0.3168416097
418	0.3166497733
419	0.3165923709
420	0.3162992657
421	0.3161978416
422	0.3160002421
423	0.3158366684
424	0.3156851502
425	0.315500708
426	0.3154121884
427	0.3153767974
428	0.3153331211
429	0.3153039228
430	0.3150810021
431	0.314951217
432	0.3149193549
433	0.3148152553
434	0.3147564045
435	0.3145135646
436	0.3142689461
437	0.314193002
438	0.3141120969
439	0.3138400843
440	0.3137519153
441	0.3136993065
442	0.3136206065
443	0.3135794923
444	0.3135375506
445	0.3134204535
446	0.3132221892
447	0.3131859726
448	0.3130117983
449	0.31294246
450	0.3128344587
451	0.3126045495
452	0.3124389806
453	0.3123733206
454	0.3122279631
455	0.3121234385
456	0.3119932872
457	0.3119260461
458	0.3118474052
459	0.311683388
460	0.3115179341
461	0.3113100577
462	0.3110620331
463	0.3108856624
464	0.3108314689
465	0.3107846474
466	0.3107061581
467	0.3106094425
468	0.3105035745
469	0.310371785
470	0.3101686746
471	0.3101521178
472	0.3100245659
473	0.3099966723
474	0.3099310635
475	0.3098514931
476	0.3097350781
477	0.3096355281
478	0.3095145118
479	0.3093870001
480	0.3092463094
481	0.3091759313
482	0.3090653689
483	0.3089593218
484	0.3086930741
485	0.308437661
486	0.3082447615
487	0.3079714027
488	0.307928056
489	0.3078256183
490	0.3077100502
491	0.30766636
492	0.3075115803
493	0.3073553651
494	0.3072536416
495	0.3071514384
496	0.3070628745
497	0.3068870823
498	0.3067506793
499	0.3066402524
500	0.3065412759
501	0.3064613593
502	0.3063803719
503	0.3062516258
504	0.3061650284
505	0.3061243768
506	0.3060072819
507	0.3057960811
508	0.3055605438
509	0.3053954738
510	0.3052873638
511	0.3051009139
512	0.3049899107
513	0.3048892879
514	0.3046300876
515	0.3043883835
516	0.304162972
517	0.3039636685
518	0.3039134173
519	0.3038379712
520	0.3037231073
521	0.303606766
522	0.3035087594
523	0.3034008941
524	0.3033977545
525	0.3032218741
526	0.3028767206
527	0.3028151838
528	0.3027900191
529	0.3026044987
530	0.3024308175
531	0.3023497879
532	0.3020065902
533	0.3018489443
534	0.3017404616
535	0.3013181035
536	0.301122582
537	0.3009662228
538	0.3008147148
539	0.3005729556
540	0.300486078
541	0.300160905
542	0.3001335466
543	0.2999319471
544	0.2996982509
545	0.2995052168
546	0.2993021768
547	0.2990610476
548	0.2989460228
549	0.2986459391
550	0.2985178427
551	0.2984021202
552	0.298283564
553	0.2981431857
554	0.2980435817
555	0.297886237
556	0.297695244
557	0.2975946885
558	0.2974483168
559	0.2971633514
560	0.2970449358
561	0.2969032027
562	0.2966722735
563	0.2965418077
