iter	Logloss
0	0.492542596
1	0.4259304178
2	0.391122852
3	0.3873503236
4	0.3825343105
5	0.3589434087
6	0.355618897
7	0.351554304
8	0.3495804477
9	0.3487409142
10	0.3458625372
11	0.3454233035
12	0.3447940887
13	0.3415272745
14	0.3410355133
15	0.339351607
16	0.3377410852
17	0.3373000107
18	0.3363905459
19	0.334084151
20	0.3298828902
21	0.3234257
22	0.3211261488
23	0.3190262968
24	0.3166789343
25	0.3119093775
26	0.3079187744
27	0.3054663608
28	0.3016683763
29	0.2995710808
30	0.2966614909
31	0.2954484889
32	0.294881557
33	0.2910354196
34	0.2904841724
35	0.2888793796
36	0.2872372706
37	0.285177756
38	0.2811121298
39	0.2801576049
40	0.2779728587
41	0.2773773305
42	0.2758573413
43	0.2757012186
44	0.2725623944
45	0.2714818691
46	0.2707792183
47	0.268879873
48	0.2640558413
49	0.2597003654
50	0.2584864778
51	0.2581484058
52	0.2568304666
53	0.256505815
54	0.2543036716
55	0.254165452
56	0.2535917768
