iter	Passed	Remaining
0	11	47708
1	23	46172
2	33	45062
3	44	44595
4	52	42264
5	62	41619
6	71	41016
7	83	41528
8	93	41600
9	104	41717
10	114	41592
11	126	41882
12	135	41678
13	146	41750
14	157	41846
15	164	41057
16	178	41773
17	193	42782
18	205	43034
19	216	43153
20	231	43862
21	242	43919
22	256	44422
23	268	44504
24	280	44528
25	291	44556
26	302	44557
27	313	44475
28	324	44386
29	335	44349
30	345	44255
31	356	44144
32	365	43992
33	375	43835
34	386	43805
35	397	43761
36	408	43726
37	419	43731
38	429	43666
39	440	43614
40	450	43517
41	462	43570
42	473	43565
43	484	43602
44	498	43795
45	509	43802
46	520	43817
47	532	43843
48	543	43835
49	553	43756
50	564	43723
51	576	43763
52	588	43848
53	602	44050
54	615	44138
55	626	44148
56	637	44099
